spp,t_c,block,sample,date,time,conductance,temp_C,sample_ID,sensor_serial_num,sensor_calNum,leaf_sensor_RH,filter_sensor_RH,pre_post
CO,T,B,6,9/23/16,11:40,6.6,28.1,COTB6,LPS2641,2203305,40.5,18.3,post
CO,T,B,7,9/23/16,11:42,3.7,28.1,COTB7,LPS2641,2203305,49.8,22.1,post
CO,T,B,8,9/23/16,11:43,4.3,28.1,COTB8,LPS2641,2203305,47.8,21.8,post
CO,T,B,1,9/26/16,8:18,9,31.9,COTB1,LPS2641,2204107,37.9,16.5,pre
CO,T,B,2,9/26/16,8:19,8.5,31.9,COTB2,LPS2641,2204107,39.1,17.2,pre
CO,T,B,3,9/26/16,8:21,4.7,31.7,COTB3,LPS2641,2204107,48.6,21.1,pre
CO,T,B,4,9/26/16,8:22,4.1,31.6,COTB4,LPS2641,2204107,51.1,22.6,pre
CO,T,B,5,9/26/16,10:13,5.8,29.2,COTB5,LPS2641,2204107,45.2,19.3,post
CO,T,B,6,9/26/16,10:14,6.3,29.5,COTB6,LPS2641,2204107,44.1,19,post
CO,T,B,7,9/26/16,10:15,5.2,29.4,COTB7,LPS2641,2204107,47.4,20.7,post
CO,T,B,8,9/26/16,10:16,5.8,29.3,COTB8,LPS2641,2204107,45.6,19.9,post
CO,T,B,1,9/28/16,9:19,22.1,30.3,C0TB1,LPS2641,2203709,20.6,8.2,pre
CO,T,B,2,9/28/16,9:21,9.6,30.2,C0TB2,LPS2641,2203709,34.6,14.4,pre
CO,T,B,3,9/28/16,9:23,6.9,30,C0TB3,LPS2641,2203709,40.1,16.7,pre
CO,T,B,4,9/28/16,9:24,9.6,29.9,C0TB4,LPS2641,2203709,34.7,14.6,pre
CO,T,B,5,9/28/16,10:20,7.6,30.6,COTB5,LPS2641,2203709,37.5,14.8,post
CO,T,B,6,9/28/16,10:21,5.1,30.6,COTB6,LPS2641,2203709,44.9,18.7,post
CO,T,B,7,9/28/16,10:22,14.2,30.6,COTB7,LPS2641,2203709,28.8,12.6,post
CO,T,B,8,9/28/16,10:24,7.3,30.5,COTB8,LPS2641,2203709,38.7,15.8,post
CO,T,B,1,9/30/16,8:16,7.5,30,COTB1,LPS2641,2203608,37.7,15.3,pre
CO,T,B,2,9/30/16,8:17,16.9,30,COTB2,LPS2641,2203608,24.7,10.2,pre
CO,T,B,3,9/30/16,8:19,6.1,30.4,COTB3,LPS2641,2203608,41.4,17,pre
CO,T,B,4,9/30/16,8:22,4.6,31,COTB4,LPS2641,2203608,46,18.7,pre
CO,T,B,5,9/30/16,10:06,10.4,30.5,COTB5,LPS2641,2203608,32.7,13.6,post
CO,T,B,6,9/30/16,10:07,10.3,30.6,COTB6,LPS2641,2203608,33.4,14.3,post
CO,T,B,7,9/30/16,10:09,4.9,30.7,COTB7,LPS2641,2203608,44.9,18.3,post
CO,T,B,8,9/30/16,10:10,7.8,30.7,COTB8,LPS2641,2203608,38.3,16.7,post
LE,T,B,1,9/21/16,9:13,8.4,33.2,LETB1,LPS2641,3003303,35.5,15.4,pre
LE,T,B,2,9/21/16,9:15,12.2,33.1,LETB2,LPS2641,3003303,29.4,12.9,pre
LE,T,B,3,9/21/16,9:16,17.2,33,LETB3,LPS2641,3003303,24.5,11.2,pre
LE,T,B,4,9/21/16,9:17,10.4,32.8,LETB4,LPS2641,3003303,32,14.1,pre
LE,T,B,5,9/21/16,11:07,6.6,29.8,LETB5,LPS2641,3003303,38.9,16.2,post
LE,T,B,6,9/21/16,11:09,6,29.5,LETB6,LPS2641,3003303,40.4,16.6,post
LE,T,B,7,9/21/16,11:10,4.1,29.5,LETB7,LPS2641,3003303,47.4,20.5,post
LE,T,B,8,9/21/16,11:13,6.8,29.1,LETB8,LPS2641,3003303,38.8,16.7,post
LE,T,B,1,9/23/16,9:08,11.8,29.3,LETB1,LPS2641,2203305,29.2,12.2,pre
LE,T,B,2,9/23/16,9:10,7,29.4,LETB2,LPS2641,2203305,37.5,15.1,pre
LE,T,B,3,9/23/16,9:12,14.5,29.7,LETB3,LPS2641,2203305,25.7,10.6,pre
LE,T,B,4,9/23/16,9:14,11.5,29.7,LETB4,LPS2641,2203305,29.8,12.6,pre
LE,T,B,6,9/23/16,11:45,5,28.3,LETB6,LPS2641,2203305,45.2,20.5,post
LE,T,B,7,9/23/16,11:47,8.3,28.7,LETB7,LPS2641,2203305,37.6,17.9,post
LE,T,B,8,9/23/16,11:49,8.5,28.6,LETB8,LPS2641,2203305,37,17.5,post
LE,T,B,5,9/23/16,11:59,7.9,29,LETB5,LPS2641,2203305,38.2,18,post
LE,T,B,1,9/26/16,8:23,6.4,32,LETB1,LPS2641,2204107,43.6,18.8,pre
LE,T,B,2,9/26/16,8:25,5.8,32.3,LETB2,LPS2641,2204107,45,19.2,pre
LE,T,B,3,9/26/16,8:26,11.1,32.4,LETB3,LPS2641,2204107,34.5,15.1,pre
LE,T,B,4,9/26/16,8:28,11.2,32.8,LETB4,LPS2641,2204107,34.2,14.8,pre
LE,T,B,5,9/26/16,10:18,7.8,29.3,LETB5,LPS2641,2204107,40.6,17.8,post
LE,T,B,6,9/26/16,10:19,15.5,29.5,LETB6,LPS2641,2204107,29,12.6,post
LE,T,B,7,9/26/16,10:21,15.6,29.7,LETB7,LPS2641,2204107,28.9,12.6,post
LE,T,B,8,9/26/16,10:22,13.6,29.7,LETB8,LPS2641,2204107,31.5,14,post
LE,T,B,1,9/28/16,9:27,17.7,29.8,LETB1,LPS2641,2203709,25.7,11.6,pre
LE,T,B,2,9/28/16,9:28,12,29.7,LETB2,LPS2641,2203709,31.1,13.3,pre
LE,T,B,3,9/28/16,9:30,22.4,29.7,LETB3,LPS2641,2203709,21.8,9.7,pre
LE,T,B,4,9/28/16,9:31,17.7,29.8,LETB4,LPS2641,2203709,25.4,11.3,pre
LE,T,B,5,9/28/16,11:32,23.5,31.5,LETB5,LPS2641,2203709,20.7,8.9,post
LE,T,B,6,9/28/16,11:34,26.7,31.4,LETB6,LPS2641,2203709,18.2,7.3,post
LE,T,B,7,9/28/16,11:35,14.3,31.3,LETB7,LPS2641,2203709,27.9,11.7,post
LE,T,B,8,9/28/16,11:36,8.6,31.2,LETB8,LPS2641,2203709,36.8,15.7,post
LE,T,B,1,9/30/16,8:24,20.1,31.3,LETB1,LPS2641,2203608,22.1,9.2,pre
LE,T,B,2,9/30/16,8:26,12.7,31.6,LETB2,LPS2641,2203608,29.3,12.3,pre
LE,T,B,3,9/30/16,8:27,18.1,31.9,LETB3,LPS2641,2203608,23.4,9.5,pre
LE,T,B,4,9/30/16,8:29,21.1,32.1,LETB4,LPS2641,2203608,22,9.6,pre
LE,T,B,5,9/30/16,10:11,7,30.6,LETB5,LPS2641,2203608,39.2,16.1,post
LE,T,B,6,9/30/16,10:12,13.2,30.6,LETB6,LPS2641,2203608,29.5,12.9,post
LE,T,B,7,9/30/16,10:14,19.7,30.8,LETB7,LPS2641,2203608,23,10,post
LE,T,B,8,9/30/16,10:15,18.2,30.8,LETB8,LPS2641,2203608,24,10.3,post
SO,T,B,1,9/21/16,9:19,6.1,32.9,SOTB1,LPS2641,3003303,41.7,19,pre
SO,T,B,2,9/21/16,9:20,4.6,32.7,SOTB2,LPS2641,3003303,44.6,18.5,pre
SO,T,B,3,9/21/16,9:22,4.1,32.8,SOTB3,LPS2641,3003303,47.8,21.2,pre
SO,T,B,4,9/21/16,9:23,6.2,32.4,SOTB4,LPS2641,3003303,40.9,18.2,pre
SO,T,B,5,9/21/16,11:14,3,29.6,SOTB5,LPS2641,3003303,52.4,22.8,post
SO,T,B,6,9/21/16,11:16,3.9,29.5,SOTB6,LPS2641,3003303,48.2,20.9,post
SO,T,B,7,9/21/16,11:18,4.3,29.4,SOTB7,LPS2641,3003303,46.8,20.1,post
SO,T,B,8,9/21/16,11:20,7.8,29.7,SOTB8,LPS2641,3003303,36.7,15.9,post
SO,T,B,1,9/23/16,9:16,3.6,29.7,SOTB1,LPS2641,2203305,49.2,20.9,pre
SO,T,B,2,9/23/16,9:18,3.1,29.8,SOTB2,LPS2641,2203305,51.4,21.9,pre
SO,T,B,3,9/23/16,9:21,3,29.9,SOTB3,LPS2641,2203305,52.3,22.8,pre
SO,T,B,4,9/23/16,9:23,7.3,30.2,SOTB4,LPS2641,2203305,37.9,16.3,pre
SO,T,B,5,9/23/16,11:50,3.1,28.7,SOTB5,LPS2641,2203305,52.9,24.3,post
SO,T,B,6,9/23/16,11:52,2.9,28.8,SOTB6,LPS2641,2203305,54.3,25.1,post
SO,T,B,7,9/23/16,11:53,5,28.7,SOTB7,LPS2641,2203305,45.7,21.2,post
SO,T,B,8,9/23/16,11:55,7.5,28.6,SOTB8,LPS2641,2203305,39.5,18.9,post
SO,T,B,1,9/26/16,8:30,3.5,33.1,SOTB1,LPS2641,2204107,53.2,23.4,pre
SO,T,B,2,9/26/16,8:31,3.9,33.3,SOTB2,LPS2641,2204107,51.9,22.9,pre
SO,T,B,3,9/26/16,8:32,4.1,33.1,SOTB3,LPS2641,2204107,50.8,22.1,pre
SO,T,B,4,9/26/16,8:34,5,32.9,SOTB4,LPS2641,2204107,48.1,21.4,pre
SO,T,B,5,9/26/16,10:23,3.3,29.8,SOTB5,LPS2641,2204107,54.2,23.7,post
SO,T,B,6,9/26/16,10:24,4.8,29.9,SOTB6,LPS2641,2204107,48.6,21.2,post
SO,T,B,7,9/26/16,10:25,6.2,30,SOTB7,LPS2641,2204107,44.6,19.6,post
SO,T,B,8,9/26/16,10:27,7.9,30.1,SOTB8,LPS2641,2204107,40.2,17.5,post
SO,T,B,1,9/28/16,9:35,5.1,30,SOTB1,LPS2641,2203709,44.6,18.2,pre
SO,T,B,2,9/28/16,9:36,7.1,29.9,SOTB2,LPS2641,2203709,39.9,16.8,pre
SO,T,B,3,9/28/16,9:38,6.2,29.8,SOTB3,LPS2641,2203709,42.4,18.3,pre
SO,T,B,4,9/28/16,9:39,8.3,29.6,SOTB4,LPS2641,2203709,37.7,16.4,pre
SO,T,B,5,9/28/16,11:37,6.6,31.3,SOTB5,LPS2641,2203709,41.3,17.6,post
SO,T,B,6,9/28/16,11:38,4.7,31.3,SOTB6,LPS2641,2203709,46.9,20.3,post
SO,T,B,7,9/28/16,11:40,6.3,31.2,SOTB7,LPS2641,2203709,41.8,17.6,post
SO,T,B,8,9/28/16,11:41,6.7,31.3,SOTB8,LPS2641,2203709,40.9,17.5,post
SO,T,B,1,9/30/16,8:31,5.9,32.1,SOTB1,LPS2641,2203608,42,17.4,pre
SO,T,B,2,9/30/16,8:32,4.8,32.1,SOTB2,LPS2641,2203608,45.4,18.8,pre
SO,T,B,3,9/30/16,8:34,5.3,32,SOTB3,LPS2641,2203608,44.1,18.7,pre
SO,T,B,4,9/30/16,8:35,7.8,32.2,SOTB4,LPS2641,2203608,37.4,15.5,pre
SO,T,B,5,9/30/16,10:16,3.7,30.8,SOTB5,LPS2641,2203608,50.1,21.3,post
SO,T,B,6,9/30/16,10:17,3.3,30.9,SOTB6,LPS2641,2203608,51.6,21.8,post
SO,T,B,7,9/30/16,10:19,5.1,31,SOTB7,LPS2641,2203608,45.3,19.6,post
SO,T,B,8,9/30/16,10:20,5.9,31,SOTB8,LPS2641,2203608,43.5,19.5,post
CO,C,A,1,9/21/16,10:23,3.7,31,COCA1,LPS2641,3003303,49.3,21.7,na
CO,C,A,2,9/21/16,10:25,4.3,31.1,COCA2,LPS2641,3003303,46.3,19.6,na
CO,C,A,3,9/21/16,10:27,4,30.8,COCA3,LPS2641,3003303,47.6,20.6,na
CO,C,A,4,9/21/16,10:29,3.4,30.7,COCA4,LPS2641,3003303,50.3,21.9,na
CO,C,A,5,9/21/16,10:30,3.6,30.6,COCA5,LPS2641,3003303,49.4,21.2,na
CO,C,A,6,9/21/16,10:32,5.1,30.4,COCA6,LPS2641,3003303,43.8,18.9,na
CO,C,A,7,9/21/16,10:34,3.1,30.3,COCA7,LPS2641,3003303,51.9,22.7,na
CO,C,A,8,9/21/16,10:36,3,30,COCA8,LPS2641,3003303,52,22.5,na
CO,C,A,1,9/23/16,9:25,3.4,30.2,COCA1,LPS2641,2203305,50.3,22,na
CO,C,A,2,9/23/16,9:28,6.2,29.8,COCA2,LPS2641,2203305,40.7,17.7,na
CO,C,A,3,9/23/16,9:31,7,29.4,COCA3,LPS2641,2203305,38.4,16.4,na
CO,C,A,4,9/23/16,9:33,5.2,29.2,COCA4,LPS2641,2203305,43.4,18.6,na
CO,C,A,5,9/23/16,10:01,7.3,30.7,COCA5,LPS2641,2203305,37.8,16.3,na
CO,C,A,6,9/23/16,10:03,5.1,30.5,COCA6,LPS2641,2203305,44.2,19.6,na
CO,C,A,7,9/23/16,10:04,4.4,30.1,COCA7,LPS2641,2203305,46.6,20.6,na
CO,C,A,8,9/23/16,10:06,8.9,29.3,COCA8,LPS2641,2203305,34.4,14.8,na
CO,C,A,1,9/26/16,8:39,11.5,32.3,COCA1,LPS2641,2204107,33.7,14.6,na
CO,C,A,2,9/26/16,8:41,8,32.6,COCA2,LPS2641,2204107,40.3,17.9,na
CO,C,A,3,9/26/16,8:42,13.5,32.6,COCA3,LPS2641,2204107,31.1,13.5,na
CO,C,A,4,9/26/16,8:44,6,32.4,COCA4,LPS2641,2204107,44.8,19.4,na
CO,C,A,5,9/26/16,8:45,20.9,32.4,COCA5,LPS2641,2204107,23.2,9.4,na
CO,C,A,6,9/26/16,8:46,9.1,32.5,COCA6,LPS2641,2204107,37.8,16.5,na
CO,C,A,7,9/26/16,8:47,3.4,32.6,COCA7,LPS2641,2204107,53.8,23.7,na
CO,C,A,8,9/26/16,8:48,14.7,32.7,COCA8,LPS2641,2204107,29.6,12.8,na
CO,C,A,1,9/28/16,10:27,6.3,30.8,COCA1,LPS2641,2203709,40.6,16,na
CO,C,A,2,9/28/16,10:28,8.5,30.7,COCA2,LPS2641,2203709,37,15.8,na
CO,C,A,3,9/28/16,10:30,5.8,30.6,COCA3,LPS2641,2203709,42.8,17.6,na
CO,C,A,4,9/28/16,10:31,8.3,30.4,COCA4,LPS2641,2203709,37.5,16.2,na
CO,C,A,5,9/28/16,10:32,28.9,30.3,COCA5,LPS2641,2203709,17.5,7.2,na
CO,C,A,6,9/28/16,10:33,16.4,30.2,COCA6,LPS2641,2203709,25.3,10.2,na
